name,group,per_g,kcal,protein_g,fat_g,carbs_g,fiber_g,Fe_mg,Ca_mg,VitD_IU,B12_ug,Folate_ug,Iodine_ug,K_mg,Mg_mg,flags,price,source
cottage_cheese,dairy,100.0,98.0,11.0,4.3,3.4,0.0,0.4,83.0,0.0,0.9,19.0,7.0,118.0,12.0,OMNI;VEG;GF,7.0,MERGED(OFF,USDA)
honey,sweetener,100.0,304.0,0.3,0.0,82.0,0.2,0.5,6.0,0.0,0.0,2.0,1.0,52.0,2.0,VEG;GF;LOW_COST,10.0,MERGED(OFF,USDA)
peanut_butter,nuts,100.0,588.0,25.0,50.0,20.0,6.0,1.9,49.0,0.0,0.0,58.0,5.0,653.0,162.0,VEG;GF,11.0,MERGED(OFF,USDA)
orange,fruit,100.0,47.0,0.9,0.1,11.8,2.4,0.1,40.0,0.0,0.0,30.0,1.0,181.0,10.0,VEG;GF;LOW_COST,1.8,MERGED(OFF,USDA)
apple,fruit,100.0,52.0,0.3,0.2,13.8,2.4,0.1,6.0,0.0,0.0,4.0,1.0,107.0,5.0,VEG;GF;LOW_COST,1.5,MERGED(OFF,USDA)
carrot,vegetable,100.0,41.0,0.9,0.2,9.6,2.8,0.3,33.0,0.0,0.0,19.0,4.0,320.0,12.0,VEG;GF;LOW_COST,1.2,MERGED(OFF,USDA)
tomato,vegetable,100.0,18.0,0.9,0.2,3.9,1.2,0.3,10.0,0.0,0.0,15.0,2.0,237.0,11.0,VEG;GF;LOW_COST,2.0,MERGED(OFF,USDA)
bell_pepper,vegetable,100.0,31.0,1.0,0.3,6.0,2.1,0.4,10.0,0.0,0.0,17.0,2.0,211.0,12.0,VEG;GF;LOW_COST,2.5,MERGED(OFF,USDA)
onion,vegetable,100.0,40.0,1.1,0.1,9.3,1.7,0.2,23.0,0.0,0.0,19.0,1.0,146.0,10.0,VEG;GF;LOW_COST,1.0,MERGED(OFF,USDA)
garlic,vegetable,100.0,149.0,6.4,0.5,33.1,2.1,1.7,181.0,0.0,0.0,3.0,5.0,401.0,25.0,VEG;GF;LOW_COST,3.0,MERGED(OFF,USDA)
whole_wheat_bread,grain,100.0,247.0,13.0,3.0,41.0,6.0,2.3,32.0,0.0,0.0,28.0,3.0,132.0,34.0,VEG;GF,3.5,MERGED(OFF,USDA)
hummus,legume,100.0,166.0,7.9,9.6,14.3,6.0,2.3,37.0,0.0,0.0,36.0,2.0,299.0,41.0,VEG;GF,5.0,MERGED(OFF,USDA)
